country code,Country,World region,Survey ,Year,Area,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,Vulnerable to poverty,In severe poverty,Year of the survey,Population 2020,Population 2021,Population share by area,Population size by area,Number of MPI poor by area
AFG,Afghanistan,South Asia,DHS,2015-2016,Urban,0.0940717798,21.2095338472,44.3535348129,21.23217863,7.0600389143,34636.207,38972.23,40099.462,24.0064638122,9626.462890625,2041.7279052734
AFG,Afghanistan,South Asia,DHS,2015-2016,Rural,0.327840948,66.8722403804,49.0249685291,17.1600511078,30.4855990801,34636.207,38972.23,40099.462,75.9935361878,30473,20377.978515625
ALB,Albania,Europe and Central Asia,DHS,2017-2018,Urban,0.002713055,0.7098571212,38.2197333026,3.3837946063,0.0601632424,2877.013,2866.849,2854.71,58.3598304868,1666.00390625,11.8262472153
ALB,Albania,Europe and Central Asia,DHS,2017-2018,Rural,0.0027966847,0.6947375261,40.2552709471,7.3619862164,0.0767308958,2877.013,2866.849,2854.71,41.6401695132,1188.7060546875,8.2583866119
DZA,Algeria,Arab States,MICS,2018-2019,Urban,0.0023344245,0.6422082181,36.3499628585,2.0124037393,0.0450778235,42705.368,43451.666,44177.969,63.0961941414,27874.6171875,179.0130767822
DZA,Algeria,Arab States,MICS,2018-2019,Rural,0.0106660005,2.6437001911,40.344970022,6.3338126066,0.4724861792,42705.368,43451.666,44177.969,36.9038058586,16303.3515625,431.0117492676
AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,Urban,0.1445186416,29.8136530879,48.4739797334,19.9089173809,12.8818141749,29154.746,33428.486,34503.774,63.5178102087,21916.041015625,6533.97265625
AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,Rural,0.5225562726,88.1721531649,59.2654544338,7.9412652498,66.5401559973,29154.746,33428.486,34503.774,36.4821897913,12587.732421875,11098.875
ARG,Argentina,Latin America and the Caribbean,MICS,2019-2020,Urban,0.0014692951,0.4323233348,33.9860236491,1.6474592819,0.0051213561,45036.032,45036.032,45276.78,100,45276.78125,195.7420959473
ARM,Armenia,Europe and Central Asia,DHS,2015-2016,Urban,0,0,,1.2502598913,0,2865.835,2805.608,2790.974,58.2900414085,1626.8598632813,0
ARM,Armenia,Europe and Central Asia,DHS,2015-2016,Rural,0.0016544466,0.4568534446,36.2139469067,4.9090984472,0,2865.835,2805.608,2790.974,41.7099585915,1164.1141357422,5.3182954788
BGD,Bangladesh,South Asia,MICS,2019,Urban,0.060386921,14.5183825317,41.5934219153,14.6692599216,3.3835350763,165516.222,167420.951,169356.251,21.5707270333,36531.375,5303.7646484375
BGD,Bangladesh,South Asia,MICS,2019,Rural,0.1160719269,27.4245211445,42.3241398902,19.179132334,7.3314981792,165516.222,167420.951,169356.251,78.4292729667,132824.875,36426.5859375
BRB,Barbados,Latin America and the Caribbean,MICS,2012,Urban,0.009003916,2.6416205491,34.084819726,0.343212316,0,276.197,280.693,281.2,62.6589139329,176.1968688965,4.6544528008
BRB,Barbados,Latin America and the Caribbean,MICS,2012,Rural,0.0077317133,2.2391586164,34.5295472981,0.7411200014,0,276.197,280.693,281.2,37.3410860671,105.0031356812,2.3511867523
BLZ,Belize,Latin America and the Caribbean,MICS,2015-2016,Urban,0.0030709896,0.8511975605,36.0784581741,4.177920161,0,367.313,394.921,400.031,42.204947429,168.8328704834,1.4371012449
BLZ,Belize,Latin America and the Caribbean,MICS,2015-2016,Rural,0.0273599921,6.8246255877,40.0900997616,11.4222203937,1.0904731225,367.313,394.921,400.031,57.795052571,231.1981201172,15.7784061432
BEN,Benin,Sub-Saharan Africa,DHS,2017-2018,Urban,0.2541898549,49.1940984759,51.6708025541,18.9623808479,26.0097466766,11940.683,12643.123,12996.895,39.9821887904,5196.4428710938,2556.3432617188
BEN,Benin,Sub-Saharan Africa,DHS,2017-2018,Rural,0.4432753399,78.5267076841,56.4489907909,11.8375651254,50.8813568436,11940.683,12643.123,12996.895,60.0178112096,7800.4516601563,6125.4379882813
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,Urban,0.0047211664,1.1819789461,39.9428979318,7.3125570202,0.1903395333,11263.015,11936.162,12079.472,68.6411988374,8291.494140625,98.0037155151
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,Rural,0.1100603455,26.3048728717,41.8402879437,22.675533226,5.688468402,11263.015,11936.162,12079.472,31.3588011626,3787.9775390625,996.422668457
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,Urban,0.0087689118,2.4191440846,36.2479931073,1.671998041,0.0440846708,3674.374,3318.407,3270.943,34.2124834505,1119.0708007813,27.0719356537
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,Rural,0.0080675393,2.0710376315,38.9540931621,5.3234348011,0.0713648378,3674.374,3318.407,3270.943,65.7875165495,2151.8720703125,44.5660820007
BWA,Botswana,Sub-Saharan Africa,BMTHS,2015-2016,Urban,0.0338138632,8.4522091569,40.0059470269,14.7832754602,1.3448456718,2352.416,2546.402,2588.423,64.1725986691,1661.0583496094,140.3961334229
BWA,Botswana,Sub-Saharan Africa,BMTHS,2015-2016,Rural,0.1421801807,32.9225477718,43.1862630232,28.4445421789,7.3728137289,2352.416,2546.402,2588.423,35.8274013309,927.3646850586,305.3120727539
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,Urban,0.0085357831,1.9758207747,43.2012011045,3.8970606286,0.4944428743,205188.205,213196.304,214326.223,84.7079937536,181551.4375,3587.1311035156
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,Rural,0.0596099037,14.1789683647,42.0410724807,19.0274159265,3.4001485456,205188.205,213196.304,214326.223,15.2920062464,32774.78125,4647.1259765625
BDI,Burundi,Sub-Saharan Africa,DHS,2016-2017,Urban,0.1408224817,29.8107814378,47.2387756682,28.7210952779,12.6776399757,11155.593,12220.227,12551.213,10.9300422481,1371.8529052734,408.9600830078
BDI,Burundi,Sub-Saharan Africa,DHS,2016-2017,Rural,0.4417529181,80.6547386522,54.7708572934,14.1709179337,50.165935147,11155.593,12220.227,12551.213,89.0699577519,11179.3603515625,9016.68359375
KHM,Cambodia,East Asia and the Pacific,DHS,2021-2022,Urban,0.0365521464,9.2003297133,39.7291700486,11.057593147,1.4758446228,16767.842,16396.86,16589.023,38.5367195734,6392.865234375,588.1646728516
KHM,Cambodia,East Asia and the Pacific,DHS,2021-2022,Rural,0.091569985,21.3122235125,42.9659462403,26.4546830846,5.7337991338,16767.842,16396.86,16589.023,61.4632804266,10196.158203125,2173.0280761719
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,Urban,0.0748256117,16.0324099987,46.6714684524,18.830345468,5.5473041896,25076.747,26491.087,27198.628,49.9152679194,13576.267578125,2176.6027832031
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,Rural,0.3887626031,71.0576145105,54.7108998485,16.3466269179,43.5072725902,25076.747,26491.087,27198.628,50.0847320806,13622.3603515625,9679.724609375
CAF,Central African Republic,Sub-Saharan Africa,MICS,2018-2019,Urban,0.2753463656,56.0337930233,49.1393408827,25.8501624975,25.4361915069,5209.324,5343.02,5457.154,35.1937179958,1920.5754394531,1076.1712646484
CAF,Central African Republic,Sub-Saharan Africa,MICS,2018-2019,Rural,0.5623573658,93.6541965163,60.0461470675,5.8704547894,72.3127968671,5209.324,5343.02,5457.154,64.8062820042,3536.5786132813,3312.154296875
TCD,Chad,Sub-Saharan Africa,MICS,2019,Urban,0.3016579357,57.3640696893,52.5865646107,19.1703396316,32.4515321438,16126.866,16644.701,17179.74,18.8823495432,3243.9384765625,1860.8551025391
